Run: 001
 Times,Y   ,X1   ,X2   ,RC_ReactionN   ,RC_Reaction1   ,RC_Reaction2   ,ReactionFired
 0.4635674950    ,2    ,27    ,17    ,1    ,11    ,7    ,Reaction2
 0.4731675977    ,3    ,26    ,17    ,1    ,12    ,7    ,Reaction1
 0.4772408160    ,2    ,26    ,16    ,1    ,12    ,8    ,Reaction2
 0.4991847159    ,1    ,26    ,15    ,1    ,12    ,9    ,Reaction2
 0.5200536766    ,2    ,25    ,15    ,1    ,13    ,9    ,Reaction1
 0.5495794075    ,1    ,25    ,14    ,1    ,13    ,10    ,Reaction2
 0.6067719772    ,2    ,24    ,14    ,1    ,14    ,10    ,Reaction1
 0.6123592886    ,1    ,24    ,13    ,1    ,14    ,11    ,Reaction2
 0.6548941584    ,0    ,24    ,12    ,1    ,14    ,12    ,Reaction2
 0.6559444234    ,1    ,23    ,12    ,1    ,15    ,12    ,Reaction1
 0.6567371029    ,2    ,22    ,12    ,1    ,16    ,12    ,Reaction1
 0.6708647280    ,1    ,22    ,11    ,1    ,16    ,13    ,Reaction2
 0.7341029233    ,2    ,21    ,11    ,1    ,17    ,13    ,Reaction1
 0.7604146563    ,1    ,21    ,10    ,1    ,17    ,14    ,Reaction2
 0.7712375327    ,0    ,21    ,9    ,1    ,17    ,15    ,Reaction2
 0.8066785475    ,1    ,20    ,9    ,1    ,18    ,15    ,Reaction1
 0.8468002410    ,2    ,19    ,9    ,1    ,19    ,15    ,Reaction1
 0.9147579709    ,1    ,19    ,8    ,1    ,19    ,16    ,Reaction2
 0.9865284275    ,0    ,19    ,7    ,1    ,19    ,17    ,Reaction2
 1.1217665001    ,1    ,18    ,7    ,1    ,20    ,17    ,Reaction1
 1.1272953206    ,2    ,17    ,7    ,1    ,21    ,17    ,Reaction1
 1.1799769412    ,0    ,17    ,7    ,2    ,21    ,17    ,ReactionN
 1.3459764350    ,1    ,16    ,7    ,2    ,22    ,17    ,Reaction1
 1.3563226315    ,2    ,15    ,7    ,2    ,23    ,17    ,Reaction1
 1.4092884207    ,1    ,15    ,6    ,2    ,23    ,18    ,Reaction2
 1.4184980739    ,0    ,15    ,5    ,2    ,23    ,19    ,Reaction2
 1.4189071004    ,1    ,14    ,5    ,2    ,24    ,19    ,Reaction1
 1.4355063539    ,2    ,13    ,5    ,2    ,25    ,19    ,Reaction1
 1.4492706948    ,1    ,13    ,4    ,2    ,25    ,20    ,Reaction2
 1.4980720411    ,0    ,13    ,3    ,2    ,25    ,21    ,Reaction2
 1.5015367365    ,1    ,12    ,3    ,2    ,26    ,21    ,Reaction1
 1.6586739395    ,2    ,11    ,3    ,2    ,27    ,21    ,Reaction1
